         20514661 function calls (20358712 primitive calls) in 4.648 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:69(ProjectionRegistry)
      791    0.000    0.000    0.000    0.000 __init__.py:690(_get)
        1    0.000    0.000    0.000    0.000 __init__.py:70(_128Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:702(BufferingFormatter)
      973    0.000    0.000    0.007    0.000 __init__.py:711(__setitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:72(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:73(ErrorDetails)
        1    0.000    0.000    0.000    0.000 __init__.py:73(_96Bit)
      474    0.000    0.000    0.000    0.000 __init__.py:741(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:744(Filter)
        2    0.000    0.000    0.000    0.000 __init__.py:75(register)
        2    0.000    0.000    0.000    0.000 __init__.py:76(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:76(_80Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:764(_get_backend_or_none)
        1    0.000    0.000    0.000    0.000 __init__.py:77(UnidentifiedImageError)
       33    0.000    0.000    0.000    0.000 __init__.py:78(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:781(Filterer)
      318    0.000    0.000    0.000    0.000 __init__.py:781(__iter__)
       33    0.000    0.000    0.000    0.000 __init__.py:786(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:79(_64Bit)
        1    0.000    0.000    0.000    0.000 __init__.py:8(_SubplotBaseMeta)
        1    0.000    0.000    0.000    0.000 __init__.py:805(copy)
        2    0.000    0.000    0.000    0.000 __init__.py:806(filter)
        1    0.000    0.000    0.000    0.000 __init__.py:82(_32Bit)
       60    0.000    0.000    0.001    0.000 __init__.py:829(_open_file_or_url)
     1876    0.000    0.000    0.000    0.000 __init__.py:847(<lambda>)
       30    0.002    0.000    0.012    0.000 __init__.py:847(_rc_params_in_file)
        1    0.000    0.000    0.000    0.000 __init__.py:85(_16Bit)
